Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
23 member(s) 3 organism(s),enterobacteria,minor capsid protein [Klebsiella oxytoca],159,159,80%,3e-47,67.96,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_201621198.1?report=genbank&log$=prottop&blast_rank=18&RID=UWD4E1J9016"",""WP_201621198.1"")"
8 member(s) 2 organism(s),enterobacteria,minor capsid protein [Shigella sonnei],158,203,88%,3e-47,77.78,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_094319905.1?report=genbank&log$=prottop&blast_rank=19&RID=UWD4E1J9016"",""WP_094319905.1"")"
184 member(s) 13 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",158,158,80%,4e-47,67.96,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_396326656.1?report=genbank&log$=prottop&blast_rank=20&RID=UWD4E1J9016"",""WP_396326656.1"")"
33 member(s) 4 organism(s),enterobacteria,"minor capsid protein, partial [Escherichia coli]",154,201,87%,1e-45,76.40,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_171868618.1?report=genbank&log$=prottop&blast_rank=21&RID=UWD4E1J9016"",""WP_171868618.1"")"
15 member(s) 2 organism(s),enterobacteria,"phage tail terminator protein, partial [Escherichia coli]",152,152,70%,2e-45,76.67,90,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_329809364.1?report=genbank&log$=prottop&blast_rank=22&RID=UWD4E1J9016"",""WP_329809364.1"")"
1 member(s) 1 organism(s),enterobacteria,Uncharacterised protein [Klebsiella pneumoniae],159,159,80%,3e-45,67.96,288,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/STW60505.1?report=genbank&log$=prottop&blast_rank=23&RID=UWD4E1J9016"",""STW60505.1"")"
18 member(s) 5 organism(s),enterobacteria,hypothetical protein [Salmonella enterica subsp. enterica serovar Anatum],151,196,80%,1e-44,82.50,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECB8751950.1?report=genbank&log$=prottop&blast_rank=24&RID=UWD4E1J9016"",""ECB8751950.1"")"
8 member(s) 1 organism(s),enterobacteria,"phage tail terminator protein, partial [Klebsiella pneumoniae]",147,147,76%,4e-43,67.35,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_277154789.1?report=genbank&log$=prottop&blast_rank=25&RID=UWD4E1J9016"",""WP_277154789.1"")"
3 member(s) 3 organism(s),enterobacteria,"phage tail terminator protein, partial [Yersinia pestis]",143,143,55%,6e-42,100.00,70,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016591305.1?report=genbank&log$=prottop&blast_rank=26&RID=UWD4E1J9016"",""WP_016591305.1"")"
14 member(s) 3 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",139,139,69%,6e-40,68.54,112,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_117261555.1?report=genbank&log$=prottop&blast_rank=27&RID=UWD4E1J9016"",""WP_117261555.1"")"
11 member(s) 7 organism(s),enterobacteria,"minor capsid protein, partial [Yersinia pestis]",134,181,68%,3e-38,100.00,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016606832.1?report=genbank&log$=prottop&blast_rank=28&RID=UWD4E1J9016"",""WP_016606832.1"")"
1 member(s) 1 organism(s),enterobacteria,"minor capsid protein, partial [Yersinia pestis]",133,133,50%,7e-38,100.00,74,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016595720.1?report=genbank&log$=prottop&blast_rank=29&RID=UWD4E1J9016"",""WP_016595720.1"")"
3 member(s) 1 organism(s),enterobacteria,"hypothetical protein, partial [Klebsiella pneumoniae]",131,131,67%,4e-37,68.60,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_200853030.1?report=genbank&log$=prottop&blast_rank=30&RID=UWD4E1J9016"",""WP_200853030.1"")"
9 member(s) 8 organism(s),enterobacteria,phage tail terminator protein [Escherichia coli],132,132,79%,9e-37,57.43,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_272449339.1?report=genbank&log$=prottop&blast_rank=31&RID=UWD4E1J9016"",""WP_272449339.1"")"
1 member(s) 1 organism(s),E. coli,phage tail terminator protein [Escherichia coli],131,131,69%,4e-35,71.91,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_411512150.1?report=genbank&log$=prottop&blast_rank=32&RID=UWD4E1J9016"",""WP_411512150.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],126,126,63%,5e-35,69.14,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEI4927446.1?report=genbank&log$=prottop&blast_rank=33&RID=UWD4E1J9016"",""MEI4927446.1"")"
2 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella enterica subsp. enterica serovar Eko],125,168,71%,1e-34,80.88,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ECV2402436.1?report=genbank&log$=prottop&blast_rank=34&RID=UWD4E1J9016"",""ECV2402436.1"")"
1 member(s) 1 organism(s),E. coli,"minor capsid protein, partial [Escherichia coli]",125,125,55%,2e-34,77.46,83,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_337453937.1?report=genbank&log$=prottop&blast_rank=35&RID=UWD4E1J9016"",""WP_337453937.1"")"
6 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],121,121,56%,4e-33,77.78,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCZ5371450.1?report=genbank&log$=prottop&blast_rank=36&RID=UWD4E1J9016"",""MCZ5371450.1"")"
9 member(s) 2 organism(s),enterobacteria,"minor capsid protein, partial [Escherichia coli]",120,167,72%,1e-32,76.81,92,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228940817.1?report=genbank&log$=prottop&blast_rank=37&RID=UWD4E1J9016"",""WP_228940817.1"")"
5 member(s) 4 organism(s),root,MULTISPECIES: phage tail terminator protein [Klebsiella],121,121,78%,2e-32,46.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_047719659.1?report=genbank&log$=prottop&blast_rank=38&RID=UWD4E1J9016"",""WP_047719659.1"")"
2 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella enterica],119,165,62%,3e-32,98.25,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EHT6055109.1?report=genbank&log$=prottop&blast_rank=39&RID=UWD4E1J9016"",""EHT6055109.1"")"
12 member(s) 5 organism(s),proteobacteria,phage tail terminator protein [Klebsiella pneumoniae],119,119,83%,2e-31,45.28,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_077266431.1?report=genbank&log$=prottop&blast_rank=40&RID=UWD4E1J9016"",""WP_077266431.1"")"
2 member(s) 2 organism(s),enterobacteria,minor capsid protein [Klebsiella grimontii],117,117,83%,7e-31,42.45,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_256682402.1?report=genbank&log$=prottop&blast_rank=41&RID=UWD4E1J9016"",""WP_256682402.1"")"
2 member(s) 1 organism(s),enterobacteria,phage tail terminator protein [Klebsiella pneumoniae],116,116,78%,2e-30,47.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EPJ5021548.1?report=genbank&log$=prottop&blast_rank=42&RID=UWD4E1J9016"",""EPJ5021548.1"")"
2 member(s) 2 organism(s),enterobacteria,Uncharacterised protein [Klebsiella pneumoniae],115,115,78%,3e-30,46.00,119,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SAW28104.1?report=genbank&log$=prottop&blast_rank=43&RID=UWD4E1J9016"",""SAW28104.1"")"
20 member(s) 6 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",115,115,78%,5e-30,46.00,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228259226.1?report=genbank&log$=prottop&blast_rank=44&RID=UWD4E1J9016"",""WP_228259226.1"")"
6 member(s) 3 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],112,112,57%,9e-30,68.49,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFS6850573.1?report=genbank&log$=prottop&blast_rank=45&RID=UWD4E1J9016"",""HFS6850573.1"")"
6 member(s) 3 organism(s),enterobacteria,minor capsid protein [Klebsiella aerogenes],114,114,78%,1e-29,46.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228710079.1?report=genbank&log$=prottop&blast_rank=46&RID=UWD4E1J9016"",""WP_228710079.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Cronobacter sakazakii],106,153,78%,6e-28,66.23,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_219845653.1?report=genbank&log$=prottop&blast_rank=47&RID=UWD4E1J9016"",""WP_219845653.1"")"
30 member(s) 7 organism(s),enterobacteria,phage tail terminator protein [Klebsiella quasipneumoniae],109,109,83%,7e-28,41.51,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_319852973.1?report=genbank&log$=prottop&blast_rank=48&RID=UWD4E1J9016"",""WP_319852973.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella aerogenes],109,109,78%,1e-27,43.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGL3854464.1?report=genbank&log$=prottop&blast_rank=49&RID=UWD4E1J9016"",""HGL3854464.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Klebsiella variicola],108,108,78%,1e-27,40.00,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHT4259126.1?report=genbank&log$=prottop&blast_rank=50&RID=UWD4E1J9016"",""HHT4259126.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein HJX06_26075 [Klebsiella pneumoniae],107,107,65%,2e-27,61.45,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJK83856.1?report=genbank&log$=prottop&blast_rank=51&RID=UWD4E1J9016"",""QJK83856.1"")"
5 member(s) 2 organism(s),enterobacteria,"minor capsid protein, partial [Yersinia pestis]",102,149,55%,9e-27,100.00,71,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019250667.1?report=genbank&log$=prottop&blast_rank=52&RID=UWD4E1J9016"",""WP_019250667.1"")"
3 member(s) 3 organism(s),enterobacteria,Uncharacterised protein [Salmonella enterica subsp. enterica serovar Typhi],103,103,39%,1e-26,98.00,50,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CHL94870.1?report=genbank&log$=prottop&blast_rank=53&RID=UWD4E1J9016"",""CHL94870.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Salmonella enterica],103,146,61%,3e-26,81.82,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAW6536983.1?report=genbank&log$=prottop&blast_rank=54&RID=UWD4E1J9016"",""EAW6536983.1"")"
3 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],103,103,49%,5e-26,77.78,63,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEX1716932.1?report=genbank&log$=prottop&blast_rank=55&RID=UWD4E1J9016"",""MEX1716932.1"")"
5 member(s) 2 organism(s),enterobacteria,minor capsid protein [Xenorhabdus hominickii],104,104,81%,6e-26,44.23,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099139911.1?report=genbank&log$=prottop&blast_rank=56&RID=UWD4E1J9016"",""WP_099139911.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],102,102,81%,8e-25,45.19,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCJ8600990.1?report=genbank&log$=prottop&blast_rank=57&RID=UWD4E1J9016"",""MCJ8600990.1"")"
2 member(s) 2 organism(s),enterobacteria,minor capsid protein [Klebsiella planticola],100,100,81%,2e-24,42.31,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGH5398752.1?report=genbank&log$=prottop&blast_rank=58&RID=UWD4E1J9016"",""HGH5398752.1"")"
2 member(s) 1 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",99.0,99.0,47%,4e-24,71.67,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228296867.1?report=genbank&log$=prottop&blast_rank=59&RID=UWD4E1J9016"",""WP_228296867.1"")"
7 member(s) 2 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",98.6,98.6,48%,5e-24,69.35,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_289450154.1?report=genbank&log$=prottop&blast_rank=60&RID=UWD4E1J9016"",""WP_289450154.1"")"
3 member(s) 3 organism(s),enterobacteria,minor capsid protein [Xenorhabdus szentirmaii],99.8,99.8,81%,7e-24,41.35,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_143707592.1?report=genbank&log$=prottop&blast_rank=61&RID=UWD4E1J9016"",""WP_143707592.1"")"
4 member(s) 3 organism(s),enterobacteria,MULTISPECIES: minor capsid protein [Klebsiella],98.2,98.2,83%,2e-23,46.23,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_284127691.1?report=genbank&log$=prottop&blast_rank=62&RID=UWD4E1J9016"",""WP_284127691.1"")"
3 member(s) 2 organism(s),enterobacteria,minor capsid protein [Shigella sonnei],89.7,135,59%,1e-22,71.70,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EOZ8747949.1?report=genbank&log$=prottop&blast_rank=63&RID=UWD4E1J9016"",""EOZ8747949.1"")"
1 member(s) 1 organism(s),enterobacteria,minor capsid protein [Providencia rettgeri],96.3,96.3,97%,1e-22,36.29,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEW2741563.1?report=genbank&log$=prottop&blast_rank=64&RID=UWD4E1J9016"",""MEW2741563.1"")"
9 member(s) 5 organism(s),enterobacteria,MULTISPECIES: phage tail terminator protein [Providencia],95.9,95.9,79%,2e-22,41.18,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136134606.1?report=genbank&log$=prottop&blast_rank=65&RID=UWD4E1J9016"",""WP_136134606.1"")"
3 member(s) 1 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],94.0,94.0,50%,2e-22,65.62,68,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEN9776242.1?report=genbank&log$=prottop&blast_rank=66&RID=UWD4E1J9016"",""HEN9776242.1"")"
2 member(s) 1 organism(s),enterobacteria,phage tail terminator protein [Pectobacterium carotovorum],95.5,95.5,97%,2e-22,35.48,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_181374649.1?report=genbank&log$=prottop&blast_rank=67&RID=UWD4E1J9016"",""WP_181374649.1"")"
5 member(s) 3 organism(s),enterobacteria,minor capsid protein [Xenorhabdus sp. KJ12.1],94.7,94.7,79%,5e-22,41.18,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_099110288.1?report=genbank&log$=prottop&blast_rank=68&RID=UWD4E1J9016"",""WP_099110288.1"")"
4 member(s) 1 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],92.8,92.8,44%,9e-22,71.43,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFH7098096.1?report=genbank&log$=prottop&blast_rank=69&RID=UWD4E1J9016"",""MFH7098096.1"")"
4 member(s) 1 organism(s),enterobacteria,minor capsid protein [Moellerella wisconsensis],90.1,90.1,79%,4e-20,39.22,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_241545184.1?report=genbank&log$=prottop&blast_rank=70&RID=UWD4E1J9016"",""WP_241545184.1"")"
3 member(s) 2 organism(s),enterobacteria,hypothetical protein [Escherichia coli],83.2,83.2,35%,2e-18,84.44,45,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGF4819228.1?report=genbank&log$=prottop&blast_rank=71&RID=UWD4E1J9016"",""HGF4819228.1"")"
2 member(s) 2 organism(s),enterobacteria,phage tail terminator protein [Morganella psychrotolerans],84.0,84.0,85%,8e-18,34.86,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067370676.1?report=genbank&log$=prottop&blast_rank=72&RID=UWD4E1J9016"",""WP_067370676.1"")"
2 member(s) 2 organism(s),enterobacteria,hypothetical protein [Klebsiella variicola subsp. variicola],81.6,81.6,44%,1e-17,63.16,61,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HGW6818178.1?report=genbank&log$=prottop&blast_rank=73&RID=UWD4E1J9016"",""HGW6818178.1"")"
7 member(s) 1 organism(s),E. coli,"phage tail terminator protein, partial [Escherichia coli]",68.9,113,44%,5e-16,80.00,58,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_268652399.1?report=genbank&log$=prottop&blast_rank=74&RID=UWD4E1J9016"",""WP_268652399.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],76.3,76.3,57%,2e-15,39.73,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBX7219542.1?report=genbank&log$=prottop&blast_rank=75&RID=UWD4E1J9016"",""HBX7219542.1"")"
4 member(s) 2 organism(s),enterobacteria,"phage tail terminator protein, partial [Yersinia pestis]",61.2,108,39%,2e-14,100.00,50,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_016603560.1?report=genbank&log$=prottop&blast_rank=76&RID=UWD4E1J9016"",""WP_016603560.1"")"
7 member(s) 1 organism(s),enterobacteria,"phage tail terminator protein, partial [Klebsiella pneumoniae]",73.2,108,50%,2e-14,73.17,64,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_323849595.1?report=genbank&log$=prottop&blast_rank=77&RID=UWD4E1J9016"",""WP_323849595.1"")"
1 member(s) 1 organism(s),proteobacteria,minor capsid protein [Pseudomonadota bacterium],74.7,74.7,73%,3e-14,36.17,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEE3154025.1?report=genbank&log$=prottop&blast_rank=78&RID=UWD4E1J9016"",""MEE3154025.1"")"
2 member(s) 1 organism(s),E. coli,"phage tail terminator protein, partial [Escherichia coli]",60.1,107,41%,4e-14,82.76,52,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_426883082.1?report=genbank&log$=prottop&blast_rank=79&RID=UWD4E1J9016"",""WP_426883082.1"")"
3 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],72.0,72.0,29%,5e-14,83.78,37,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QRN76050.1?report=genbank&log$=prottop&blast_rank=80&RID=UWD4E1J9016"",""QRN76050.1"")"
1 member(s) 1 organism(s),enterobacteria,phage tail terminator protein [Providencia hangzhouensis],71.6,71.6,62%,4e-13,39.24,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_369104118.1?report=genbank&log$=prottop&blast_rank=81&RID=UWD4E1J9016"",""WP_369104118.1"")"
3 member(s) 2 organism(s),enterobacteria,minor capsid protein [Klebsiella pneumoniae],69.3,69.3,58%,2e-12,40.54,95,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHD2873128.1?report=genbank&log$=prottop&blast_rank=82&RID=UWD4E1J9016"",""HHD2873128.1"")"
2 member(s) 1 organism(s),g-proteobacteria,minor capsid protein [Photobacterium ganghwense],69.7,69.7,79%,3e-12,34.31,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_207104134.1?report=genbank&log$=prottop&blast_rank=83&RID=UWD4E1J9016"",""WP_207104134.1"")"
1 member(s) 1 organism(s),a-proteobacteria,phage tail terminator protein [Sphingomonas sp. NFR04],69.3,69.3,79%,5e-12,33.66,127,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093294911.1?report=genbank&log$=prottop&blast_rank=84&RID=UWD4E1J9016"",""WP_093294911.1"")"
1 member(s) 1 organism(s),a-proteobacteria,minor capsid protein [Sphingomonas melonis],68.6,68.6,71%,1e-11,35.16,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375292222.1?report=genbank&log$=prottop&blast_rank=85&RID=UWD4E1J9016"",""WP_375292222.1"")"
4 member(s) 1 organism(s),enterobacteria,"minor capsid protein, partial [Klebsiella pneumoniae]",63.5,98.6,46%,1e-11,72.22,59,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_227645226.1?report=genbank&log$=prottop&blast_rank=86&RID=UWD4E1J9016"",""WP_227645226.1"")"
1 member(s) 1 organism(s),g-proteobacteria,minor capsid protein [Acinetobacter nosocomialis],67.4,67.4,76%,3e-11,34.69,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIJ2225912.1?report=genbank&log$=prottop&blast_rank=87&RID=UWD4E1J9016"",""HIJ2225912.1"")"
1 member(s) 1 organism(s),g-proteobacteria,minor capsid protein [Halomonas sp. BMC6],65.5,65.5,79%,2e-10,34.31,128,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_339118973.1?report=genbank&log$=prottop&blast_rank=88&RID=UWD4E1J9016"",""WP_339118973.1"")"
1 member(s) 1 organism(s),enterobacteria,hypothetical protein [Klebsiella pneumoniae],62.8,62.8,28%,2e-10,72.22,40,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCD9436694.1?report=genbank&log$=prottop&blast_rank=89&RID=UWD4E1J9016"",""MCD9436694.1"")"
2 member(s) 1 organism(s),E. coli,hypothetical protein [Escherichia coli],47.0,92.8,35%,6e-10,90.91,45,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HFI8359153.1?report=genbank&log$=prottop&blast_rank=90&RID=UWD4E1J9016"",""HFI8359153.1"")"
1 member(s) 1 organism(s),a-proteobacteria,minor capsid protein [Methylorubrum extorquens],63.9,63.9,79%,7e-10,33.64,132,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_253399758.1?report=genbank&log$=prottop&blast_rank=91&RID=UWD4E1J9016"",""WP_253399758.1"")"
